日付,種類,金額,カテゴリ,メモ
2025/06/16,収入,5,その他,ポイント、残高の獲得 / らーめんにんにくや　堀之内店 / PayPayポイント / - / -
2025/06/16,支出,579,食費,"支払い / ローソン - 川崎生田八丁目 / PayPayポイント (103円), PayPay残高 (476円) / - / -"
2025/06/16,収入,2,その他,ポイント、残高の獲得 / ローソン / PayPayポイント / - / -
2025/06/17,支出,200,その他,支払い / ファミリーマート - 台東柳橋一丁目 / PayPay残高 / - / -
2025/06/17,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/17,収入,3,その他,ポイント、残高の獲得 / 磯浜魚業 / PayPayポイント / - / -
2025/06/17,支出,600,その他,支払い / 磯浜魚業 - テイクアウト２ / PayPay残高 / - / -
2025/06/17,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/17,支出,315,その他,"支払い / ファミリーマート - 神田駅北口 / PayPayポイント (31円), PayPay残高 (284円) / - / -"
2025/06/17,支出,4000,その他,送った金額 / れんや / PayPay残高 / - / -
2025/06/17,収入,7,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/06/17,支出,1559,食費,支払い / セブン-イレブン - 世田谷千歳台２丁目 / PayPay残高 / - / -
2025/06/18,収入,5,その他,ポイント、残高の獲得 / しんぱち食堂　神田北口店 / PayPayポイント / - / -
2025/06/18,支出,1133,その他,支払い / しんぱち食堂　神田北口店 - しんぱち食堂　神田北口店 / PayPay残高 / - / -
2025/06/18,収入,5,その他,ポイント、残高の獲得 / くまめん / PayPayポイント / - / -
2025/06/18,支出,1050,その他,支払い / くまめん - 神田店 / PayPay残高 / - / -
2025/06/18,支出,550,食費,"支払い / エクセルシオールカフェ - エクセルシオールカフェ神田北口店 / PayPayポイント (23円), PayPay残高 (527円) / - / -"
2025/06/18,収入,2,その他,ポイント、残高の獲得 / エクセルシオールカフェ / PayPayポイント / - / -
2025/06/19,支出,580,その他,支払い / ファミリーマート - 東神田二丁目 / PayPay残高 / - / -
2025/06/19,収入,2,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/19,支出,2980,その他,送った金額 / yota / PayPay残高 / - / -
2025/06/19,収入,8,その他,ポイント、残高の獲得 / 牛たん とろろ 麦めし ねぎし / PayPayポイント / - / -
2025/06/19,支出,1600,その他,支払い / 牛たん とろろ 麦めし ねぎし - ねぎし　京王フレンテ店 / PayPay残高 / - / -
2025/06/19,支出,149,食費,支払い / ローソン - 新宿大久保二丁目 / PayPay残高 / - / -
2025/06/19,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/19,支出,300,その他,"支払い / ファミリーマート - 神田駅北口 / PayPayポイント (13円), PayPay残高 (287円) / - / -"
2025/06/20,収入,17,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/06/20,支出,3405,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/06/20,支出,520,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/06/20,収入,2,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/20,収入,2,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/06/20,支出,520,食費,"支払い / セブン-イレブン - 神田駅南口 / PayPayポイント (4円), PayPay残高 (516円) / - / -"
2025/06/21,収入,10,その他,ポイント、残高の獲得 / 双麺浅草橋店 / PayPayポイント / - / -
2025/06/21,支出,2060,その他,支払い / 双麺浅草橋店 - 双麺浅草橋店 / PayPay残高 / - / -
2025/06/21,収入,3,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/06/21,支出,671,食費,"支払い / セブン-イレブン - 和光新倉８丁目 / PayPayポイント (9円), PayPay残高 (662円) / - / -"
2025/06/22,支出,9000,その他,送った金額 / れんや / PayPay残高 / - / -
2025/06/22,収入,100000,その他,郵便局　(9901-7020)
2025/06/22,支出,220,その他,手数料
2025/06/23,収入,4,その他,ポイント、残高の獲得 / すき家 / PayPayポイント / - / -
2025/06/23,支出,970,その他,"支払い / すき家 - 浅草橋駅前店 / PayPayポイント (25円), PayPay残高 (945円) / - / -"
2025/06/23,支出,1000,その他,送った金額 / 🐼 / PayPay残高 / - / -
2025/06/23,支出,4623,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/06/24,収入,3,その他,ポイント、残高の獲得 / 磯浜魚業 / PayPayポイント / - / -
2025/06/24,支出,650,その他,支払い / 磯浜魚業 - テイクアウト２ / PayPay残高 / - / -
2025/06/24,支出,549,食費,"支払い / セブン-イレブン - 神田駅南口 / PayPayポイント (7円), PayPay残高 (542円) / - / -"
2025/06/24,収入,2,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/06/25,支出,595,交通費,支払い / JR-PLUS - ＪＲ-ＰＬＵＳ東京デリカステーション８１５ / PayPay残高 / - / -
2025/06/25,収入,2,その他,ポイント、残高の獲得 / JR-PLUS / PayPayポイント / - / -
2025/06/25,収入,152635,その他,振込　ｶ)ｾﾞﾛｲﾁ
2025/06/26,支出,129,食費,支払い / セブン-イレブン - 大阪日本橋３丁目 / PayPay残高 / - / -
2025/06/26,支出,166,食費,支払い / セブン-イレブン - 大阪日本橋３丁目 / PayPay残高 / - / -
2025/06/26,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/26,支出,254,その他,支払い / ファミリーマート - アイランドセンター駅東 / PayPay残高 / - / -
2025/06/26,収入,4,その他,ポイント、残高の獲得 / 匠 / PayPayポイント / - / -
2025/06/26,支出,995,その他,支払い / 匠 - TAKUMEAT　STORE / PayPay残高 / - / -
2025/06/26,支出,5,その他,支払い / ファミリーマート - 地下鉄南方駅前 / PayPay残高 / - / -
2025/06/26,収入,7,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/06/26,支出,1534,その他,支払い / ファミリーマート - 地下鉄南方駅前 / PayPay残高 / - / -
2025/06/27,収入,7,その他,ポイント、残高の獲得 / フジオフードシステム / PayPayポイント / - / -
2025/06/27,支出,1500,その他,支払い / フジオフードシステム - フジオ軒　南森町店 / PayPay残高 / - / -
2025/06/27,支出,149,食費,支払い / セブン-イレブン - 大阪東天満２丁目 / PayPay残高 / - / -
2025/06/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/06/27,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/06/28,収入,9,その他,ポイント、残高の獲得 / マクドナルド / PayPayポイント / - / -
2025/06/28,支出,1840,食費,支払い / マクドナルド - マクドナルド狭山岩室店 / PayPay残高 / - / -
2025/06/28,収入,8,その他,ポイント、残高の獲得 / ローソン / PayPayポイント / - / -
2025/06/28,支出,1701,食費,支払い / ローソン - 柏原石川町 / PayPay残高 / - / -
2025/06/28,支出,152,食費,支払い / ローソン - ローソンストア100浪速日本橋 / PayPay残高 / - / -
2025/06/29,支出,162,食費,支払い / セブン-イレブン - 富田林西板持 / PayPay残高 / - / -
2025/07/01,収入,11,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/07/01,支出,2310,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/07/02,収入,4,その他,ポイント、残高の獲得 / 匠 / PayPayポイント / - / -
2025/07/02,支出,995,その他,支払い / 匠 - TAKUMEAT　STORE / PayPay残高 / - / -
2025/07/02,収入,1,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/07/02,支出,355,食費,支払い / セブン-イレブン - 大阪西中島４丁目 / PayPay残高 / - / -
2025/07/03,収入,2,その他,ポイント、残高の獲得 / ニコニコ本舗 / PayPayポイント / - / -
2025/07/03,支出,500,その他,支払い / ニコニコ本舗 - 西中島店 / PayPay残高 / - / -
2025/07/04,収入,2,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/07/04,支出,452,食費,支払い / セブン-イレブン - 大阪西中島４丁目 / PayPay残高 / - / -
2025/07/04,支出,127,その他,支払い / デイリーヤマザキ - 淀川西中島 / PayPay残高 / - / -
2025/07/04,支出,183755,通信費,振替　AU PAY ｶ-ﾄﾞ
2025/07/04,支出,76000,その他,送金　IB ﾌｼﾞｻﾜ ﾅﾁ
2025/07/06,収入,100000,その他,カード　ｾﾌﾞﾝ-1135634
2025/07/06,支出,220,その他,手数料
2025/07/07,収入,5,その他,ポイント、残高の獲得 / 魚匠屋 / PayPayポイント / - / -
2025/07/07,支出,1000,その他,支払い / 魚匠屋 - 魚匠屋　神田本店 / PayPay残高 / - / -
2025/07/07,支出,118,食費,支払い / セブン-イレブン - 神田駅南口 / PayPay残高 / - / -
2025/07/08,収入,10,その他,ポイント、残高の獲得 / 双麺浅草橋店 / PayPayポイント / - / -
2025/07/08,支出,2140,その他,支払い / 双麺浅草橋店 - 双麺浅草橋店 / PayPay残高 / - / -
2025/07/08,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/07/08,支出,260,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/07/08,収入,5,その他,ポイント、残高の獲得 / ＬＩＮＥ　ＥＣ / PayPayポイント / - / -
2025/07/08,支出,1000,その他,支払い / ＬＩＮＥ　ＥＣ / PayPay残高 / - / -
2025/07/09,収入,5,その他,ポイント、残高の獲得 / マルマンストア / PayPayポイント / - / -
2025/07/09,支出,1197,その他,支払い / マルマンストア - マルマンストア　日本橋馬喰町店 / PayPay残高 / - / -
2025/07/09,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/07/09,支出,337,その他,支払い / ファミリーマート - 東神田二丁目 / PayPay残高 / - / -
2025/07/09,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/07/09,支出,213,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/07/09,収入,4,その他,ポイント、残高の獲得 / 東京串焼倶楽部 / PayPayポイント / - / -
2025/07/09,支出,800,その他,支払い / 東京串焼倶楽部 - 神田店 / PayPay残高 / - / -
2025/07/09,支出,463,食費,支払い / セブン-イレブン - 神田駅南口 / PayPay残高 / - / -
2025/07/09,収入,2,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/07/09,支出,1551,その他,水道　ｽｲﾄﾞｳ06ﾂｷﾌﾞﾝ
2025/07/10,収入,1,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/07/10,支出,230,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/07/10,収入,1,その他,ポイント、残高の獲得 / 和菓子はしもと / PayPayポイント / - / -
2025/07/10,支出,250,その他,支払い / 和菓子はしもと - 店舗2 / PayPay残高 / - / -
2025/07/10,収入,1500,その他,ポイント、残高の獲得 / Yahoo!ショッピング / PayPayポイント / - / -
2025/07/10,支出,328,食費,支払い / セブン-イレブン - 台東柳橋１丁目 / PayPay残高 / - / -
2025/07/10,収入,1,その他,ポイント、残高の獲得 / セブン-イレブン / PayPayポイント / - / -
2025/07/10,支出,2366,その他,振替　Dｶ-ﾄﾞ
2025/07/11,収入,17,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/07/11,支出,3405,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/07/11,収入,3,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/07/11,支出,706,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/07/12,収入,11,その他,ポイント、残高の獲得 / café STUDIO / PayPayポイント / - / -
2025/07/12,支出,2365,その他,支払い / café STUDIO - 原宿店 / PayPay残高 / - / -
2025/07/13,支出,129,食費,支払い / セブン-イレブン - 台東柳橋１丁目 / PayPay残高 / - / -
2025/07/13,支出,26380,その他,送った金額 / yota / PayPay残高 / - / -
